# Daten Gitterkonstante
# Ordnung,	Wellenlänge /nm,	Grad 1,	Minuten 1, Grad 2, Minuten 2
1.0, 467.81, 68, 20, 68, 20
1.0, 479.99, 67, 50, 67, 53
1.0, 508.58, 66, 51, 66, 52
1.0, 643.85, 62, 02, 62, 04
2.0, 467.81, 51, 06, 51, 01
2.0, 479.99, 50, 08, 50, 09
2.0, 508.58, 48, 21, 47, 51
-1.0, 467.81, 101, 15, 101, 14
-1.0, 479.99, 101, 41, 101, 40
-1.0, 508.58, 102, 51, 102, 45
-1.0, 643.58, 108, 05, 108, 04
-2.0, 467.81, 120, 30, 120, 30
-2.0, 479.99, 121, 39, 121, 35
-2.0, 508.58, 124, 24, 124, 31 
